Date,HomeTeam,AwayTeam,B365>2.5,B365<2.5
15/01/2022,Stuttgart,RB Leipzig,1.57,2.37
15/01/2022,Union Berlin,Hoffenheim,1.72,2.1
15/01/2022,Wolfsburg,Hertha,1.99,1.91
15/01/2022,M'gladbach,Leverkusen,1.44,2.75
16/01/2022,Augsburg,Ein Frankfurt,1.85,2.05
16/01/2022,Bielefeld,Greuther Furth,2.07,1.83
21/01/2022,Ein Frankfurt,Bielefeld,1.83,2.07
22/01/2022,Freiburg,Stuttgart,2.02,1.88
22/01/2022,Greuther Furth,Mainz,2.02,1.88
22/01/2022,Hoffenheim,Dortmund,1.4,3.0
22/01/2022,Leverkusen,Augsburg,1.57,2.37
22/01/2022,M'gladbach,Union Berlin,1.85,2.05
22/01/2022,Bochum,FC Koln,1.72,2.1
23/01/2022,RB Leipzig,Wolfsburg,1.72,2.1
23/01/2022,Hertha,Bayern Munich,1.36,3.2
04/02/2022,Hertha,Bochum,1.9,2.0
05/02/2022,Augsburg,Union Berlin,2.05,1.85
05/02/2022,Bielefeld,M'gladbach,1.8,2.0
05/02/2022,FC Koln,Freiburg,1.72,2.1
05/02/2022,Mainz,Hoffenheim,1.72,2.1
05/02/2022,Stuttgart,Ein Frankfurt,1.8,2.0
05/02/2022,Bayern Munich,RB Leipzig,1.36,3.2
06/02/2022,Dortmund,Leverkusen,1.4,3.0
06/02/2022,Wolfsburg,Greuther Furth,1.94,1.96
11/02/2022,RB Leipzig,FC Koln,1.5,2.62
12/02/2022,Bochum,Bayern Munich,1.28,3.75
12/02/2022,Ein Frankfurt,Wolfsburg,1.96,1.94
12/02/2022,Freiburg,Mainz,2.03,1.87
12/02/2022,Greuther Furth,Hertha,1.99,1.91
12/02/2022,M'gladbach,Augsburg,1.66,2.2
12/02/2022,Leverkusen,Stuttgart,1.44,2.75
13/02/2022,Union Berlin,Dortmund,1.61,2.3
13/02/2022,Hoffenheim,Bielefeld,1.66,2.2
18/02/2022,Mainz,Leverkusen,1.72,2.1
19/02/2022,Augsburg,Freiburg,2.03,1.87
19/02/2022,Bielefeld,Union Berlin,2.2,1.66
19/02/2022,Stuttgart,Bochum,1.95,1.95
19/02/2022,Wolfsburg,Hoffenheim,1.72,2.1
19/02/2022,FC Koln,Ein Frankfurt,1.61,2.3
20/02/2022,Bayern Munich,Greuther Furth,1.14,5.5
