date,home_team,away_team,league,season,source_file,xg_entry_status,home_xg,away_xg,xg_source_file,xg_source_schema
2024-09-22,FC St Pauli,RB Leipzig,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.67285,0.841324,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-09-22,Leverkusen,Wolfsburg,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.71874,0.836406,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-09-22,Stuttgart,Dortmund,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,3.56218,0.60692,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-09-27,Dortmund,Bochum,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,4.1712,1.02915,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-09-28,Bayern Munich,Leverkusen,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.19457,0.0870163,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-09-28,Freiburg,FC St Pauli,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.10172,1.40925,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-09-28,M'gladbach,Union Berlin,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.38305,0.731164,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-09-28,Mainz,FC Heidenheim,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,0.371434,1.09304,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-09-28,RB Leipzig,Augsburg,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,2.81593,1.07415,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-09-28,Wolfsburg,Stuttgart,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.0386,2.58036,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-09-29,Hoffenheim,Werder Bremen,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.78654,4.06917,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-09-29,Holstein Kiel,Ein Frankfurt,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.02971,2.43436,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-04,Augsburg,M'gladbach,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.75524,0.807021,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-05,Bochum,Wolfsburg,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,2.28586,2.37344,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-05,FC St Pauli,Mainz,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,0.805413,1.29606,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-05,Leverkusen,Holstein Kiel,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,2.5839,1.98438,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-05,Union Berlin,Dortmund,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.52691,0.748758,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-05,Werder Bremen,Freiburg,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,0.879674,1.58065,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-06,Ein Frankfurt,Bayern Munich,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.49515,2.83119,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-06,FC Heidenheim,RB Leipzig,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.08159,1.81585,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-06,Stuttgart,Hoffenheim,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.72567,0.893468,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-18,Dortmund,FC St Pauli,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,3.97161,1.07012,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-19,Bayern Munich,Stuttgart,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,3.61889,0.286656,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-19,Freiburg,Augsburg,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.07588,0.868723,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-19,Hoffenheim,Bochum,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,2.46268,2.3454,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-19,Leverkusen,Ein Frankfurt,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,4.07146,1.55158,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-19,M'gladbach,FC Heidenheim,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,4.14976,1.89766,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-19,Mainz,RB Leipzig,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,0.611288,2.16084,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-20,Holstein Kiel,Union Berlin,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,0.901058,1.2809,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-20,Wolfsburg,Werder Bremen,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,2.17351,2.14788,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-25,Mainz,M'gladbach,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.45557,0.934033,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-26,Augsburg,Dortmund,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,0.560509,0.776944,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-26,FC St Pauli,Wolfsburg,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,0.730167,0.940969,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-26,RB Leipzig,Freiburg,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,2.69047,1.75887,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-26,Stuttgart,Holstein Kiel,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.90999,0.680092,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-26,Werder Bremen,Leverkusen,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.78808,1.30852,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-10-27,Bochum,Bayern Munich,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,0.205046,3.1499,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
