market,n,hit,hit_rate,profit,roi,avg_odds,max_dd,top3_wins,profit_ex_top3,roi_ex_top3,seasons,n_seasons,leagues,n_leagues,pattern,odds_band,reject
Away_win,710,112,15.8,-134.32,-18.9,7.91,-177.81,43.0,-177.32,-25.0,"[2021, 2022, 2023, 2024, 2025]",5,"['Bundesliga', 'Premier League', 'Ligue 1', 'Serie A', 'La Liga', '2. Bundesliga', 'Eredivisie', 'MLS']",8,form_mismatch_H,A_any,ROI=-18.9%<=0
Over25,710,430,60.6,98.4,13.9,1.88,-13.8,2.64,95.76,13.5,"[2021, 2022, 2023, 2024, 2025]",5,"['Bundesliga', 'Premier League', 'Ligue 1', 'Serie A', 'La Liga', '2. Bundesliga', 'Eredivisie', 'MLS']",8,form_mismatch_H,any,
Over35,710,276,38.9,7.6,1.1,2.6,-51.4,4.8,2.8,0.4,"[2021, 2022, 2023, 2024, 2025]",5,"['Bundesliga', 'Premier League', 'Ligue 1', 'Serie A', 'La Liga', '2. Bundesliga', 'Eredivisie', 'MLS']",8,form_mismatch_H,any,dd(-51.4)>2x profit(7.6)
BTTS,710,396,55.8,-5.12,-0.7,1.78,-36.98,2.34,-7.46,-1.1,"[2021, 2022, 2023, 2024, 2025]",5,"['Bundesliga', 'Premier League', 'Ligue 1', 'Serie A', 'La Liga', '2. Bundesliga', 'Eredivisie', 'MLS']",8,form_mismatch_H,any,ROI=-0.7%<=0
Home_win,41,21,51.2,-2.97,-7.2,1.8,-5.1,2.85,-5.82,-14.2,"[2021, 2022, 2023, 2024, 2025]",5,"['2. Bundesliga', 'Premier League', 'Bundesliga', 'Eredivisie', 'La Liga', 'Serie A', 'MLS']",7,form_mismatch_A,H_1.60-2.00,n=41<50
Home_win,166,52,31.3,-44.69,-26.9,2.34,-46.46,5.06,-49.75,-30.0,"[2021, 2022, 2023, 2024, 2025]",5,"['2. Bundesliga', 'Ligue 1', 'Premier League', 'Eredivisie', 'La Liga', 'Bundesliga', 'Serie A', 'MLS']",8,form_mismatch_A,H_2.00-2.75,ROI=-26.9%<=0
Home_win,593,130,21.9,2.75,0.5,5.48,-64.88,41.0,-38.25,-6.5,"[2021, 2022, 2023, 2024, 2025]",5,"['2. Bundesliga', 'Eredivisie', 'La Liga', 'Ligue 1', 'Serie A', 'Bundesliga', 'Premier League', 'MLS']",8,form_mismatch_A,H_2.75+,profit_ex_top3<=0
Home_win,808,209,25.9,-44.67,-5.5,4.61,-99.2,41.0,-85.67,-10.6,"[2021, 2022, 2023, 2024, 2025]",5,"['2. Bundesliga', 'Ligue 1', 'Premier League', 'Eredivisie', 'La Liga', 'Serie A', 'Bundesliga', 'MLS']",8,form_mismatch_A,H_any,ROI=-5.5%<=0
Draw,392,127,32.4,50.9,13.0,3.5,-17.45,8.25,42.65,10.9,"[2021, 2022, 2023, 2024, 2025]",5,"['2. Bundesliga', 'Ligue 1', 'Premier League', 'Eredivisie', 'La Liga', 'Serie A', 'Bundesliga', 'MLS']",8,form_mismatch_A,D_3.20-3.80,
Draw,202,50,24.8,-3.1,-1.5,4.01,-25.6,10.11,-13.21,-6.5,"[2021, 2022, 2023, 2024, 2025]",5,"['La Liga', 'Bundesliga', 'Serie A', 'Ligue 1', 'Premier League', 'Eredivisie', '2. Bundesliga', 'MLS']",8,form_mismatch_A,D_3.80-4.50,ROI=-1.5%<=0
Draw,109,18,16.5,-23.15,-21.2,4.8,-35.5,12.75,-35.9,-32.9,"[2021, 2022, 2023, 2024, 2025]",5,"['Serie A', 'Ligue 1', 'Bundesliga', 'Premier League', 'Eredivisie', 'La Liga', '2. Bundesliga', 'MLS']",8,form_mismatch_A,D_4.50-5.50,ROI=-21.2%<=0
Draw,78,8,10.3,-26.0,-33.3,6.82,-32.5,21.0,-47.0,-60.3,"[2021, 2022, 2023, 2024, 2025]",5,"['Eredivisie', 'Ligue 1', 'Bundesliga', 'Premier League', 'Serie A', 'La Liga', 'MLS']",7,form_mismatch_A,D_5.50+,ROI=-33.3%<=0
Draw,808,213,26.4,2.45,0.3,4.11,-43.71,21.0,-18.55,-2.3,"[2021, 2022, 2023, 2024, 2025]",5,"['2. Bundesliga', 'Ligue 1', 'Premier League', 'Eredivisie', 'La Liga', 'Serie A', 'Bundesliga', 'MLS']",8,form_mismatch_A,D_any,profit_ex_top3<=0
Away_win,258,159,61.6,-17.97,-7.0,1.54,-26.64,2.26,-20.23,-7.8,"[2021, 2022, 2023, 2024, 2025]",5,"['La Liga', 'Bundesliga', 'Serie A', 'Ligue 1', 'Premier League', 'Eredivisie', '2. Bundesliga', 'MLS']",8,form_mismatch_A,A_1.30-1.80,ROI=-7.0%<=0
Away_win,263,110,41.8,-33.13,-12.6,2.12,-37.11,4.32,-37.45,-14.2,"[2021, 2022, 2023, 2024, 2025]",5,"['2. Bundesliga', 'La Liga', 'Serie A', 'Ligue 1', 'Premier League', 'Eredivisie', 'Bundesliga', 'MLS']",8,form_mismatch_A,A_1.80-2.50,ROI=-12.6%<=0
Away_win,194,64,33.0,-5.11,-2.6,3.0,-19.72,8.15,-13.26,-6.8,"[2021, 2022, 2023, 2024, 2025]",5,"['2. Bundesliga', 'Ligue 1', 'Premier League', 'Eredivisie', 'Bundesliga', 'La Liga', 'Serie A', 'MLS']",8,form_mismatch_A,A_2.50-4.00,ROI=-2.6%<=0
Away_win,38,7,18.4,-6.85,-18.0,5.26,-14.55,11.85,-18.7,-49.2,"[2021, 2022, 2023, 2024, 2025]",5,"['Eredivisie', 'La Liga', 'Serie A', 'Premier League', 'Ligue 1', 'MLS', 'Bundesliga']",7,form_mismatch_A,A_4.00+,n=38<50
