league,season,date,home_team,away_team,odds_home,odds_draw,odds_away,control_score_10,chaos_score_10,likely_1x2,confidence,model_home_prob,model_draw_prob,model_away_prob,over25_signal,btts_signal,both_over,both_btts,data_warning,probability_profile,home_stats_n,away_stats_n,home_ppg,away_ppg,home_over25_rate,away_over25_rate,home_btts_rate,away_btts_rate,mode,matchday,cutoff_date,train_rows,test_group_size,model_name,model_trained_ok,model_error,recommended_market_type,recommended_market_subtype,recommended_market_read,recommendation_strength,risk_note,league_profile,league_adjusted_strength,league_profile_note,league_warning_flags,league_preferred_subtype,league_suppressed_subtype,market_tier,market_tier_score,market_tier_reason,market_tier_flags,market_tier_score_league_relative,actual_result,actual_home_goals,actual_away_goals,actual_total_goals,actual_over25,actual_under25,actual_under35,actual_btts,type_success,subtype_success,month,odds_bucket,ctrl_bucket,chaos_bucket,fav_side,season_phase
Bundesliga,2024,2025-01-14,Wolfsburg,M'gladbach,1.91,3.8,3.75,4.98,4.6,Draw,LOW,0.2541,0.4967,0.2491,unclear,BTTS YES likely,False,True,False,,10,10,1.7,1.8,0.6,0.5,0.7,0.7,walk_forward,2025-01-14,2025-01-14,144,4,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,DOWNGRADE,44,Btts has weak cross-league evidence.,downgrade_subtype:BTTS,-2.87,H,5.0,1.0,6.0,1,0,0,1,True,True,2025-01,strong_fav (1.5-2.0),low (3-5),medium (4-6),HOME_FAVORITE,mid
Bundesliga,2024,2025-01-15,Union Berlin,Augsburg,1.83,3.5,4.5,5.46,3.61,Home,MEDIUM,0.64,0.1073,0.2527,unclear,unclear,False,False,False,,10,10,0.5,0.9,0.4,0.5,0.4,0.5,walk_forward,2025-01-15,2025-01-15,148,5,logistic_regression,True,,DOUBLE_CHANCE,DOUBLE_CHANCE_1X,home_or_draw_1X,MEDIUM,favorite_direction_but_control_below_hard_1x2,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,B_TIER,68,"Adjusted strength MEDIUM, no warning, subtype not suppressed.",strength:MEDIUM,-0.42,A,0.0,2.0,2.0,0,1,1,0,False,False,2025-01,strong_fav (1.5-2.0),medium (5-7),low (<4),HOME_FAVORITE,mid
Bundesliga,2024,2025-01-15,Stuttgart,RB Leipzig,1.95,3.9,3.4,4.88,4.41,Home,MEDIUM,0.9343,0.0314,0.0343,OVER likely,BTTS YES likely,False,False,False,,10,10,1.7,1.6,0.6,0.7,0.5,0.7,walk_forward,2025-01-15,2025-01-15,148,5,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,HARD_NO_GO,20,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-5.32,H,2.0,1.0,3.0,1,0,1,1,True,True,2025-01,strong_fav (1.5-2.0),low (3-5),medium (4-6),HOME_FAVORITE,mid
Bundesliga,2024,2025-01-15,Werder Bremen,Heidenheim,1.6,4.2,4.75,6.9,4.37,Home,MEDIUM,0.9856,0.0052,0.0091,OVER likely,BTTS YES likely,False,False,False,,10,10,1.7,0.4,0.7,0.6,0.7,0.5,walk_forward,2025-01-15,2025-01-15,148,5,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,HARD_NO_GO,20,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-5.32,D,3.0,3.0,6.0,1,0,0,1,True,True,2025-01,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Bundesliga,2024,2025-01-15,Bochum,St Pauli,2.6,3.25,2.75,3.57,2.43,Home,LOW,0.505,0.0029,0.4921,UNDER likely,unclear,False,False,False,,10,10,0.7,1.0,0.3,0.3,0.3,0.3,walk_forward,2025-01-15,2025-01-15,148,5,logistic_regression,True,,UNDER,UNDER_35,under_profile_low_chaos_weak_btts,MEDIUM,under_requires_low_chaos,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,B_TIER,68,"Adjusted strength MEDIUM, no warning, subtype not suppressed.",strength:MEDIUM,-0.42,H,1.0,0.0,1.0,0,1,1,0,True,True,2025-01,no_clear_fav (>2.5),low (3-5),low (<4),HOME_FAVORITE,mid
Bundesliga,2024,2025-01-15,Bayern Munich,Hoffenheim,1.13,9.0,17.0,8.2,3.6,Home,HIGH,0.9604,0.0395,0.0001,unclear,unclear,False,False,False,,10,10,2.5,1.0,0.7,0.3,0.4,0.5,walk_forward,2025-01-15,2025-01-15,148,5,logistic_regression,True,,OBSERVE_ONLY,NONE,mixed_signal_observe,LOW,diagnostic_only,unknown_league,LOW,No league-specific profile available. Standard cross-league rules apply.,,,,OBSERVE_ONLY,20,Market type is OBSERVE_ONLY — insufficient signal for classification.,observe_only_type,-5.32,H,5.0,0.0,5.0,1,0,0,0,,,2025-01,heavy_fav (<=1.5),high (7-10),low (<4),HOME_FAVORITE,mid
Bundesliga,2024,2025-01-17,Ein Frankfurt,Dortmund,2.55,3.6,2.63,4.18,5.5,Home,MEDIUM,0.7692,0.0291,0.2018,OVER likely,BTTS YES likely,True,True,False,,10,10,2.0,1.2,0.7,0.7,0.7,0.9,walk_forward,2025-01-17,2025-01-17,153,1,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,LOW,goals_signal_with_control_not_required,unknown_league,LOW,No league-specific profile available. Standard cross-league rules apply.,,,,HARD_NO_GO,20,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-5.32,H,2.0,0.0,2.0,0,1,1,0,False,False,2025-01,no_clear_fav (>2.5),low (3-5),medium (4-6),HOME_FAVORITE,mid
Bundesliga,2024,2025-01-18,Bayern Munich,Wolfsburg,1.17,7.5,15.0,7.1,4.22,Home,HIGH,0.966,0.0331,0.0009,OVER likely,unclear,False,False,False,,10,10,2.5,2.0,0.7,0.6,0.4,0.7,walk_forward,2025-01-18,2025-01-18,154,6,logistic_regression,True,,BTTS_OVER,OVER_25,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,DOWNGRADE,44,Over_25 in bundesliga is outside goal-friendly context.,over25_non_goal_friendly_league,-2.87,H,3.0,2.0,5.0,1,0,0,1,True,True,2025-01,heavy_fav (<=1.5),high (7-10),medium (4-6),HOME_FAVORITE,mid
Bundesliga,2024,2025-01-18,Bochum,RB Leipzig,3.7,3.6,2.0,4.97,3.6,Home,MEDIUM,0.5575,0.0106,0.4319,unclear,unclear,False,False,False,,10,10,1.0,1.3,0.2,0.8,0.2,0.8,walk_forward,2025-01-18,2025-01-18,154,6,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,unknown_league,LOW,No league-specific profile available. Standard cross-league rules apply.,,,,C_TIER,50,Neutral conviction — no strong signal in either direction.,strength:LOW,-2.26,D,3.0,3.0,6.0,1,0,0,1,True,,2025-01,strong_fav (1.5-2.0),low (3-5),low (<4),AWAY_FAVORITE,mid
Bundesliga,2024,2025-01-18,Heidenheim,St Pauli,2.38,3.5,2.8,4.28,2.94,Away,MEDIUM,0.4437,0.0148,0.5415,unclear,unclear,False,False,False,,10,10,0.5,1.0,0.6,0.2,0.5,0.2,walk_forward,2025-01-18,2025-01-18,154,6,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,unknown_league,LOW,No league-specific profile available. Standard cross-league rules apply.,,,,C_TIER,50,Neutral conviction — no strong signal in either direction.,strength:LOW,-2.26,A,0.0,2.0,2.0,0,1,1,0,False,,2025-01,medium_fav (2.0-2.5),low (3-5),low (<4),HOME_FAVORITE,mid
